,State,Year,TotalBallots,VotingEligiblePopulation,VotingAgePopulation,PercentVotingEligibleVotes,PercentVotingAgeVotes,PercentBachelors,Income,PercentWhite,AverageAge,Population,LandAreaSQM,PopulationDensity,Presidential
0,Alabama,2008,2105622.0,3454510,3595708,0.6095284135810868,0.5855931571751655,22.0,60810,0.6867,37.655371225341845,4718.21,50645,93.16240497581202,True
1,Alaska,2008,327341.0,479429,507645,0.6827726316096857,0.6448226615055797,27.3,87500,0.6616,34.41499923629143,687.455,570641,1.2047066369223383,True
2,Arkansas,2008,1095958.0,2071563,2174846,0.5290488389684503,0.5039244157977163,18.8,54130,0.7571,37.7457486370365,2874.55,52035,55.2426251561449,True
3,Colorado,2008,2422236.0,3382959,3708955,0.7160110424040019,0.6530777537069067,35.6,83330,0.7106,36.31498743953329,4889.73,103642,47.179039385577276,True
4,Delaware,2008,413562.0,628200,680493,0.6583285577841452,0.6077388011338838,27.5,69330,0.6774,37.93864013266998,883.874,1949,453.5012827090816,True
5,District of Columbia,2008,266871.0,432566,481971,0.6169486274926832,0.5537075882158885,48.2,76010,0.3161,37.755591340132405,580.236,61,9512.065573770491,True
6,Florida,2008,8453743.0,12687407,14558436,0.6663097510783724,0.5806765919086363,25.8,61340,0.6027,40.00452045674516,18527.31,53625,345.4976223776224,True
7,Hawaii,2008,456064.0,930067,1036088,0.4903560711217579,0.4401788265089452,29.1,84120,0.236,38.84141578519121,1332.21,6423,207.41242410088745,True
8,Illinois,2008,5578195.0,8681138,9615700,0.6425649494340488,0.5801132522853251,29.9,72820,0.6447,36.688611022618666,12747.04,55519,229.59779534933986,True
9,Louisiana,2008,1979852.0,3205794,3342279,0.6175855341921533,0.5923658677207977,20.3,54100,0.6219,36.58332163414292,4435.59,43204,102.66618831589668,True
10,Maine,2008,744456.0,1036242,1049816,0.718419056552427,0.7091299808728386,25.4,64580,0.9538,40.33113570363394,1330.51,30843,43.13815128230068,True
11,Massachusetts,2008,3102995.0,4612550,5058035,0.6727287509078492,0.6134783567136249,38.1,82480,0.7873,38.24547094220364,6468.97,7800,829.3551282051282,True
12,Michigan,2008,5039080.0,7229512,7528460,0.6970152342232782,0.6693374209333649,24.7,68080,0.7778,37.646870263405845,9946.89,56539,175.92971223403313,True
13,Minnesota,2008,2921147.0,3740142,3975974,0.7810256936768711,0.7346997238915546,31.5,75100,0.8509,37.188120759170026,5247.02,79627,65.89498536928429,True
14,Missouri,2008,2950504.0,4327572,4507688,0.6817920071578243,0.6545492944498377,25.0,62950,0.8256,37.672113403861594,5923.92,68742,86.17613685956184,True
15,Montana,2008,497599.0,741853,755384,0.6707514831105353,0.6587364836957097,27.1,58660,0.8784,38.007352157698456,976.415,145546,6.708635070699298,True
16,Nebraska,2008,811923.0,1274719,1348048,0.6369427301232664,0.6022953188610495,27.1,69360,0.8379,36.820220801859385,1796.38,76824,23.383057377902738,True
17,New Jersey,2008,3910220.0,5776527,6651284,0.6769153853171638,0.5878894962235863,34.4,89300,0.6169,37.89837072964001,8711.09,7354,1184.537666576013,True
18,New Mexico,2008,833365.0,1362629,1505830,0.6115861323955384,0.5534256855023475,24.7,57570,0.4152,36.95377456049638,2010.66,121298,16.576200761760294,True
19,Ohio,2008,5773777.0,8513079,8757453,0.678224294641222,0.65929865681266,24.1,64180,0.8255,37.94501456419449,11515.39,40861,281.8186045373339,True
20,Oregon,2008,1845251.0,2700327,2916246,0.6833435358014048,0.6327487461620179,28.1,70730,0.7983,38.17298418599639,3768.75,95988,39.262720340042506,True
21,Pennsylvania,2008,6071357.0,9457942,9813664,0.6419321454921165,0.6186636306276636,26.3,70290,0.8165,39.21583477050997,12612.29,44743,281.8829761079945,True
22,Rhode Island,2008,475428.0,763608,825786,0.6226074111324135,0.5757278520100849,30.0,72800,0.7858,38.765306122448976,1055.0,1034,1020.3094777562862,True
23,South Carolina,2008,1927153.0,3311044,3473488,0.5820378708346975,0.5548178084968194,23.7,57640,0.6529,37.93090033345683,4529.0,30061,150.6603240078507,True
24,Tennessee,2008,2618238.0,4563192,4771926,0.5737733586489457,0.5486753147471273,22.9,54290,0.7713,37.90223648514524,6247.41,41235,151.50745725718443,True
25,Utah,2008,971185.0,1700286,1840087,0.5711891999345993,0.5277929793536936,29.1,85510,0.8196,32.13849188625875,2663.03,82170,32.40878666179871,True
26,Vermont,2008,326822.0,482677,492610,0.6771029073272603,0.6634497878646394,32.1,69330,0.9507,39.78217325988984,624.151,9217,67.71737007703157,True
27,Virginia,2008,3753059.0,5555415,6022123,0.6755677118631102,0.6232119470160274,33.7,84760,0.6704,37.50490671842985,7833.5,39490,198.36667510762217,True
28,Washington,2008,3071587.0,4561163,5032960,0.6734218882333299,0.6102943397126145,30.7,77440,0.7528,37.483870967741936,6562.23,66456,98.74548573492235,True
29,Wisconsin,2008,2997086.0,4120694,4306876,0.7273255427362478,0.6958839771565283,25.7,70010,0.8521,37.9307727480567,5641.0,54158,104.15820377414232,True
30,Wyoming,2008,256035.0,405732,418040,0.6310446304457129,0.6124653143239881,23.6,72930,0.8651,37.201317574113546,546.043,97093,5.623917275189767,True
31,Alaska,2010,261128.0,493764,528744,0.5288518401503552,0.4938647057933518,27.9,78340,0.6417,34.81259129418638,713.982,570641,1.2511929566925615,False
32,Arizona,2010,1750840.0,4209544,4807398,0.41592153449399744,0.3641970146844509,25.9,63510,0.5799,37.280394444533236,6407.34,113594,56.40562001514164,False
33,California,2010,10529134.0,22946053,28167234,0.4588647119397833,0.37380787904130025,30.1,73520,0.3999,36.32138230952714,37319.55,155779,239.56727158346118,False
34,Colorado,2010,1828323.0,3533054,3843619,0.5174908167268318,0.4756774799999688,36.4,81570,0.7023,36.71636629917416,5047.54,103642,48.70168464522105,False
35,Connecticut,2010,1153872.0,2512981,2765843,0.4591646335567201,0.41718636958063054,35.5,89380,0.7123,38.88370817334065,3579.17,4842,739.1924824452706,False
36,Delaware,2010,316754.0,646969,696940,0.48959687403878704,0.45449249576721096,27.8,74780,0.6563,38.59550304003671,899.647,1949,461.594150846588,False
37,District of Columbia,2010,135846.0,458619,506765,0.2962066551974515,0.2680650794747072,50.1,77100,0.3354,37.709750964573836,605.282,61,9922.655737704918,False
38,Florida,2010,5473787.0,12961184,14916066,0.42232152556433117,0.3669725650181489,25.8,59680,0.5788,40.33040741787508,18846.14,53625,351.4431701631702,False
39,Georgia,2010,2623035.0,6464845,7255919,0.40573826595997275,0.36150279516626355,27.3,59750,0.5604,36.076338067065336,9712.21,57513,168.8698207361814,False
40,Illinois,2010,3792770.0,8798829,9735944,0.4310539504745461,0.3895636622396349,30.8,68700,0.6372,37.16978558437829,12840.55,55519,231.28208361101605,False
41,Indiana,2010,1791832.0,4697111,4896656,0.3814753366484207,0.36592972836972826,22.7,62490,0.8167,37.4018889224556,6490.56,35826,181.16898341986266,False
42,Iowa,2010,1133429.0,2234516,2328262,0.5072369139446753,0.4868133397358201,24.9,66380,0.8876,38.3818261990367,3050.82,55857,54.618400558569206,False
43,Kentucky,2010,1417995.0,3198093,3332204,0.4433876688388987,0.42554267385790306,20.5,55670,0.8684,38.11102659789404,4348.46,39486,110.12662715899306,False
44,Maine,2010,580584.0,1038201,1055605,0.5592211912722103,0.550001184155058,26.8,64910,0.9463,40.87773128777313,1327.65,30843,43.04542359692637,False
45,Massachusetts,2010,2319963.0,4693670,5152976,0.49427484250064446,0.4502180875672621,39.0,82520,0.7639,38.83567726439542,6566.44,7800,841.851282051282,False
46,Michigan,2010,3268217.0,7245281,7555742,0.4510821595463309,0.4325474586083008,25.2,62670,0.7674,38.347042743538765,9877.6,56539,174.7041864907409,False
