,State,Year,TotalBallots,VotingEligiblePopulation,VotingAgePopulation,PercentVotingEligibleVotes,PercentVotingAgeVotes,PercentBachelors,Income,PercentWhite,AverageAge,Population,LandAreaSQM,PopulationDensity,Presidential
377,Alabama,2000,,3241682,3334576,,,19,59070,0.711,35.8,4452.17,50645,87.90936914,TRUE
378,Alaska,2000,287825,419111,440296,0.6867512425,0.6537079601,24.7,88130,0.693,32.4,627.963,570641,1.100451948,TRUE
379,Arizona,2000,1559520,3357701,3816498,0.4644606533,0.4086259183,23.5,66340,0.755,34.2,5160.59,113594,45.43012835,TRUE
380,Arkansas,2000,,1925961,2001774,,,16.7,49520,0.8,36,2678.59,52035,51.47669838,TRUE
381,California,2000,11142843,19685258,24867252,0.5660501376,0.4480930583,26.6,78070,0.595,33.3,33987.98,155779,218.1807561,TRUE
382,Colorado,2000,,3026316,3246521,,,32.7,80450,0.828,34.3,4326.92,103642,41.74871191,TRUE
383,Connecticut,2000,1474103,2357687,2575243,0.6252326963,0.5724131664,31.4,83670,0.816,37.4,3411.78,4842,704.622057,TRUE
384,Delaware,2000,,554863,594256,,,25,83990,0.746,36,786.373,1949,403.4751154,TRUE
385,District of Columbia,2000,,416696,458301,,,39.1,68740,0.308,34.6,572.046,61,9377.803279,TRUE
386,Florida,2000,6138765,10667193,12475387,0.5754808224,0.4920701057,22.3,64800,0.78,38.7,16047.52,53625,299.2544522,TRUE
387,Georgia,2000,2684951,5639668,6087332,0.4760831666,0.441071885,24.3,69880,0.651,33.4,8227.3,57513,143.0511363,TRUE
570,Hawaii,2000,371113,832642,923737,0.4457053572,0.4017517973,26.2,85960,0.243,36.2,1213.52,6423,188.9335202,TRUE
388,Idaho,2000,516647,877406,935443,0.5888345874,0.5523019575,21.7,62720,0.91,33.2,1299.43,82643,15.72341275,TRUE
389,Illinois,2000,4932192,8432600,9208908,0.5848957617,0.535589236,26.1,76820,0.735,34.7,12434.16,55519,223.9622472,TRUE
390,Indiana,2000,2246003,4424909,4527523,0.5075817378,0.4960776566,19.4,68150,0.875,35.2,6091.87,35826,170.0404734,TRUE
391,Iowa,2000,,2082950,2199529,,,21.2,68360,0.939,36.6,2929.07,55857,52.43872746,TRUE
392,Kansas,2000,1092716,1927950,1983933,0.5667761093,0.5507827129,25.8,68470,0.861,35.2,2693.68,81759,32.94658692,TRUE
571,Kentucky,2000,1568058,2955628,3059582,0.5305329358,0.5125072641,17.1,60480,0.901,35.9,4049.02,39486,102.5431799,TRUE
393,Louisiana,2000,1776133,3130267,3260060,0.5674062308,0.5448160463,18.7,51230,0.639,34,4471.89,43204,103.5063883,TRUE
394,Maine,2000,,969292,979314,,,22.9,62150,0.969,38.6,1277.07,30843,41.4055053,TRUE
572,Maryland,2000,2036455,3649631,3972224,0.5579892871,0.5126737566,31.4,90950,0.64,36,5311.03,9707,547.134027,TRUE
395,Massachusetts,2000,2736006,4517052,4870470,0.605706111,0.5617539991,33.2,77970,0.845,36.5,6361.1,7800,815.525641,TRUE
396,Michigan,2000,4279299,7070702,7370524,0.6052155783,0.580596305,21.8,75900,0.802,35.5,9952.45,56539,176.0280514,TRUE
397,Minnesota,2000,2458303,3506432,3662005,0.7010838938,0.6712997388,27.4,90470,0.894,35.4,4933.69,79627,61.96001356,TRUE
398,Mississippi,2000,,2024650,2076861,,,16.9,57200,0.614,33.8,2848.35,46923,60.7026405,TRUE
573,Missouri,2000,,4052255,4190073,,,21.6,75210,0.849,36.1,5607.29,68742,81.57007361,TRUE
399,Montana,2000,417916,667525,676065,0.6260679375,0.6181594965,24.4,54660,0.906,37.5,903.773,145546,6.20953513,TRUE
400,Nebraska,2000,707223,1224178,1266496,0.5777125549,0.5584091857,23.7,69620,0.896,35.3,1713.82,76824,22.30839321,TRUE
401,Nevada,2000,613360,1346116,1523209,0.4556516675,0.4026761922,18.2,76310,0.752,35,2018.74,109781,18.38879223,TRUE
402,New Hampshire,2000,578656,890622,934176,0.6497212061,0.6194293152,28.7,84930,0.96,37.1,1239.88,8953,138.4876578,TRUE
574,New Jersey,2000,3293378,5601788,6356954,0.5879155013,0.5180748516,29.8,84060,0.726,36.7,8430.62,7354,1146.399239,TRUE
403,New Mexico,2000,615607,1234088,1318129,0.4988355774,0.4670309203,23.5,58520,0.668,34.6,1821.2,121298,15.0142624,TRUE
575,New York,2000,6960215,12380208,14344348,0.562205013,0.485223518,27.4,67950,0.679,35.9,19001.78,47126,403.2122395,TRUE
404,North Carolina,2000,3015964,5744241,6143214,0.5250413414,0.4909423634,22.5,63900,0.721,35.3,8081.61,48618,166.2267062,TRUE
405,North Dakota,2000,292249,477968,482078,0.6114405148,0.6062276229,22,60030,0.924,36.2,642.023,69001,9.304546311,TRUE
406,Ohio,2000,4795989,8295592,8487355,0.5781370395,0.5650746316,21.1,71650,0.85,36.2,11363.54,40861,278.102347,TRUE
407,Oklahoma,2000,,2475220,2568304,,,20.3,54090,0.762,35.5,3454.37,68595,50.35891829,TRUE
408,Oregon,2000,1559215,2364402,2595354,0.6594542722,0.6007716096,25.1,70870,0.866,36.3,3429.71,95988,35.73061216,TRUE
409,Pennsylvania,2000,,9086897,9375146,,,22.4,70330,0.854,38,12284.17,44743,274.5495385,TRUE
410,Rhode Island,2000,412074,753877,804417,0.5466064093,0.5122641615,25.6,70370,0.85,36.7,1050.27,1034,1015.73501,TRUE
411,South Carolina,2000,1433533,2944326,3025380,0.4868798496,0.4738356835,20.4,62650,0.672,35.4,4024.22,30061,133.8684674,TRUE
412,South Dakota,2000,322159,548498,554875,0.5873476293,0.5805974319,21.5,60830,0.887,35.6,755.844,75811,9.970109879,TRUE
413,Tennessee,2000,2100241,4162996,4316391,0.5045022863,0.4865733897,19.6,56860,0.802,35.9,5703.72,41235,138.322299,TRUE
414,Texas,2000,6407637,13033081,15138468,0.491644071,0.4232685236,23.2,64390,0.71,32.3,20944.5,261232,80.17585901,TRUE
415,Utah,2000,784582,1431668,1534950,0.5480195129,0.5111449884,26.1,79300,0.892,27.1,2244.5,82170,27.31532189,TRUE
416,Vermont,2000,297146,459174,463503,0.6471315885,0.6410875442,29.4,66030,0.968,37.7,609.618,9217,66.14060974,TRUE
417,Virginia,2000,2789808,5069265,5389008,0.5503377709,0.5176848875,29.5,78650,0.723,35.7,7105.82,39490,179.9397316,TRUE
418,Washington,2000,2517028,4098044,4419907,0.6142022877,0.5694753306,27.7,70920,0.818,35.3,5910.51,66456,88.93869628,TRUE
576,West Virginia,2000,,1390365,1405021,,,14.8,49050,0.95,38.9,1807.02,24038,75.17347533,TRUE
419,Wisconsin,2000,,3842044,4016401,,,22.4,75190,0.889,36,5374,54158,99.2281842,TRUE
420,Wyoming,2000,221685,361078,366639,0.6139532179,0.6046410775,21.9,66090,0.921,36.2,494.3,97093,5.090995231,TRUE
421,Alabama,2002,,3285643,3371451,,,22.7,60570,0.71,,4480.09,50645,88.46065752,FALSE
422,Alaska,2002,232852,427337,457154,0.5448908005,0.5093513346,25.6,85010,0.67,,642.337,570641,1.125641165,FALSE
423,Arizona,2002,1255615,3419481,3998148,0.3671946123,0.3140491548,26.3,64000,0.63,,5396.26,113594,47.50479779,FALSE
424,Arkansas,2002,814176,1951568,2031787,0.4171906897,0.4007191699,18.3,52170,0.76,,2705.93,52035,52.00211396,FALSE
425,California,2002,7738821,20733192,25622609,0.3732575765,0.3020309524,27.9,76410,0.46,,34871.84,155779,223.8545632,FALSE
577,Colorado,2002,1424029,3056465,3362098,0.4659071836,0.4235536858,35.7,77790,0.75,,4490.41,103642,43.32616121,FALSE
426,Connecticut,2002,1090756,2418037,2617814,0.4510915259,0.4166667303,32.6,86000,0.78,,3458.75,4842,714.322594,FALSE
427,Delaware,2002,,564938,612919,,,29.5,79980,0.74,,806.169,1949,413.632119,FALSE
428,District of Columbia,2002,,412062,458631,,,44.4,62930,0.28,,573.158,61,9396.032787,FALSE
429,Florida,2002,5143674,11194391,13005435,0.4594867197,0.3955018806,25.7,61250,0.64,,16689.37,53625,311.223683,FALSE
430,Georgia,2002,,5731983,6287215,,,25,69170,0.61,,8508.26,57513,147.9362927,FALSE
431,Hawaii,2002,385462,872992,950520,0.4415412741,0.4055275007,26.8,76200,0.23,,1239.61,6423,192.995485,FALSE
578,Idaho,2002,416533,921256,970916,0.4521359969,0.4290103366,20.9,60750,0.87,,1340.37,82643,16.21879651,FALSE
432,Illinois,2002,3651808,8540965,9302571,0.4275638643,0.3925590033,27.3,68800,0.69,,12525.56,55519,225.6085304,FALSE
579,Indiana,2002,,4494191,4587747,,,23.7,66120,0.90,,6155.97,35826,171.8296768,FALSE
433,Iowa,2002,1040201,2136683,2214936,0.4868298199,0.4696302737,23.1,66120,0.91,,2934.23,55857,52.53110622,FALSE
434,Kansas,2002,851966,1897261,2007407,0.4490504996,0.4244111931,29.1,68650,0.85,,2713.54,81759,33.18949596,FALSE
435,Kentucky,2002,,3044267,3100972,,,21.6,59220,0.90,,4089.88,39486,103.577977,FALSE
436,Louisiana,2002,1267225,3163663,3312330,0.4005562539,0.3825781248,22.1,54780,0.63,,4497.27,43204,104.0938339,FALSE
437,Maine,2002,,995056,1001796,,,23.8,59360,0.97,,1295.96,30843,42.01796194,FALSE
438,Maryland,2002,1721626,3678346,4082694,0.4680435174,0.4216887183,37.6,90860,0.62,,5440.39,9707,560.4604924,FALSE
439,Massachusetts,2002,2220301,4458820,4919958,0.4979570828,0.4512845435,34.3,80310,0.81,,6417.21,7800,822.7192308,FALSE
580,Michigan,2002,3219864,7147888,7445335,0.4504636894,0.4324673101,22.5,68810,0.80,,10015.71,56539,177.1469251,FALSE
440,Minnesota,2002,,3518184,3745577,,,30.5,87980,0.89,,5018.94,79627,63.03063031,FALSE
