,State,Year,TotalBallots,PercentVotingEligibleVotes,PercentBachelors,Income,PercentWhite,AverageAge,Presidential,YearsSince2000
1,Alaska,2000,287825.0,68.67512425,24.7,88.13,69.3,32.4,1,0
2,Arizona,2000,1559520.0,46.44606533,23.5,66.34,75.5,34.2,1,0
4,California,2000,11142843.0,56.60501376,26.6,78.07,59.5,33.3,1,0
6,Connecticut,2000,1474103.0,62.52326963,31.4,83.67,81.6,37.4,1,0
9,Florida,2000,6138765.0,57.54808224,22.3,64.8,78.0,38.7,1,0
10,Georgia,2000,2684951.0,47.60831666,24.3,69.88,65.10000000000001,33.4,1,0
11,Hawaii,2000,371113.0,44.570535719999995,26.2,85.96,24.3,36.2,1,0
12,Idaho,2000,516647.0,58.88345874000001,21.7,62.72,91.0,33.2,1,0
13,Illinois,2000,4932192.0,58.48957617,26.1,76.82,73.5,34.7,1,0
14,Indiana,2000,2246003.0,50.75817378000001,19.4,68.15,87.5,35.2,1,0
16,Kansas,2000,1092716.0,56.67761093,25.8,68.47,86.1,35.2,1,0
17,Kentucky,2000,1568058.0,53.05329358,17.1,60.48,90.10000000000001,35.9,1,0
18,Louisiana,2000,1776133.0,56.74062308,18.7,51.23,63.9,34.0,1,0
20,Maryland,2000,2036455.0,55.79892871,31.4,90.95,64.0,36.0,1,0
21,Massachusetts,2000,2736006.0,60.57061110000001,33.2,77.97,84.5,36.5,1,0
22,Michigan,2000,4279299.0,60.52155782999999,21.8,75.9,80.2,35.5,1,0
23,Minnesota,2000,2458303.0,70.10838938,27.4,90.47,89.4,35.4,1,0
26,Montana,2000,417916.0,62.60679375,24.4,54.66,90.60000000000001,37.5,1,0
27,Nebraska,2000,707223.0,57.771255489999994,23.7,69.62,89.60000000000001,35.3,1,0
28,Nevada,2000,613360.0,45.56516675,18.2,76.31,75.2,35.0,1,0
29,New Hampshire,2000,578656.0,64.97212060999999,28.7,84.93,96.0,37.1,1,0
30,New Jersey,2000,3293378.0,58.791550130000005,29.8,84.06,72.6,36.7,1,0
31,New Mexico,2000,615607.0,49.88355774,23.5,58.52,66.8,34.6,1,0
32,New York,2000,6960215.0,56.2205013,27.4,67.95,67.9,35.9,1,0
33,North Carolina,2000,3015964.0,52.504134140000005,22.5,63.9,72.1,35.3,1,0
34,North Dakota,2000,292249.0,61.144051479999995,22.0,60.03,92.4,36.2,1,0
35,Ohio,2000,4795989.0,57.81370395,21.1,71.65,85.0,36.2,1,0
37,Oregon,2000,1559215.0,65.94542722,25.1,70.87,86.6,36.3,1,0
39,Rhode Island,2000,412074.0,54.66064093000001,25.6,70.37,85.0,36.7,1,0
40,South Carolina,2000,1433533.0,48.68798496,20.4,62.65,67.2,35.4,1,0
41,South Dakota,2000,322159.0,58.734762929999995,21.5,60.83,88.7,35.6,1,0
42,Tennessee,2000,2100241.0,50.450228630000005,19.6,56.86,80.2,35.9,1,0
43,Texas,2000,6407637.0,49.1644071,23.2,64.39,71.0,32.3,1,0
44,Utah,2000,784582.0,54.80195129,26.1,79.3,89.2,27.1,1,0
45,Vermont,2000,297146.0,64.71315885,29.4,66.03,96.8,37.7,1,0
46,Virginia,2000,2789808.0,55.03377709,29.5,78.65,72.3,35.7,1,0
47,Washington,2000,2517028.0,61.420228769999994,27.7,70.92,81.8,35.3,1,0
50,Wyoming,2000,221685.0,61.395321790000004,21.9,66.09,92.10000000000001,36.2,1,0
154,Alaska,2006,238307.0,51.23019806,26.9,82.02,68.7,33.5,0,6
155,Arizona,2006,1553032.0,39.579936319999995,25.5,67.83,76.9,34.6,0,6
156,Arkansas,2006,780409.0,38.93881477,18.2,53.88,78.60000000000001,37.1,0,6
157,California,2006,8899059.0,41.23329406,29.0,80.43,59.8,34.4,0,6
158,Colorado,2006,1586105.0,48.10302829,34.3,80.97,82.8,35.4,0,6
159,Connecticut,2006,1162391.0,47.68668164,33.7,90.73,79.9,39.1,0,6
