,State,Year,YearsSince2000,PercentVotingEligibleVotes
1,Alaska,2002,2,54.489080050000005
2,Arizona,2002,2,36.71946123
3,Arkansas,2002,2,41.71906897
4,California,2002,2,37.32575765
5,Colorado,2002,2,46.59071836
6,Connecticut,2002,2,45.10915259
9,Florida,2002,2,45.94867197
11,Hawaii,2002,2,44.15412741
12,Idaho,2002,2,45.21359969
13,Illinois,2002,2,42.75638643
15,Iowa,2002,2,48.68298199
16,Kansas,2002,2,44.90504996
18,Louisiana,2002,2,40.055625389999996
20,Maryland,2002,2,46.80435174
21,Massachusetts,2002,2,49.79570828
22,Michigan,2002,2,45.04636894
26,Montana,2002,2,49.70580158
28,Nevada,2002,2,36.83653224
29,New Hampshire,2002,2,48.69910852
30,New Jersey,2002,2,38.940751309999996
31,New Mexico,2002,2,40.015584589999996
32,New York,2002,2,36.99540965
34,North Dakota,2002,2,49.81070906
35,Ohio,2002,2,40.327744440000004
37,Oregon,2002,2,51.838593700000004
39,Rhode Island,2002,2,45.43514484
41,South Dakota,2002,2,61.207327469999996
43,Texas,2002,2,34.534963010000006
44,Utah,2002,2,37.77195388
45,Vermont,2002,2,49.42543853
46,Virginia,2002,2,32.343862820000005
47,Washington,2002,2,43.457618780000004
48,West Virginia,2002,2,31.48190003
50,Wyoming,2002,2,50.75144134
52,Alaska,2006,6,51.23019806
53,Arizona,2006,6,39.579936319999995
54,Arkansas,2006,6,38.93881477
55,California,2006,6,41.23329406
56,Colorado,2006,6,48.10302829
57,Connecticut,2006,6,47.68668164
58,Delaware,2006,6,42.912922949999995
59,District of Columbia,2006,6,28.68086224
60,Florida,2006,6,40.077132500000005
61,Georgia,2006,6,35.05689226
62,Hawaii,2006,6,38.39568721
63,Idaho,2006,6,46.215748080000004
64,Illinois,2006,6,41.37653818
65,Indiana,2006,6,37.71090436
66,Iowa,2006,6,49.18965148
67,Kansas,2006,6,44.33809683
68,Kentucky,2006,6,44.18374705
69,Louisiana,2006,6,31.37417765
71,Maryland,2006,6,47.19729406
72,Massachusetts,2006,6,49.284790830000006
73,Michigan,2006,6,52.820603389999995
74,Minnesota,2006,6,60.46153632
76,Missouri,2006,6,51.21093226
77,Montana,2006,6,57.05638305
78,Nebraska,2006,6,48.79982606
79,Nevada,2006,6,37.12422953
80,New Hampshire,2006,6,42.915836559999995
81,New Jersey,2006,6,40.617954680000004
82,New Mexico,2006,6,43.06623191
83,New York,2006,6,36.52429854
84,North Carolina,2006,6,32.50712333
85,North Dakota,2006,6,45.35279815
86,Ohio,2006,6,49.450037349999995
88,Oregon,2006,6,53.24014992
90,Rhode Island,2006,6,52.0912361
91,South Carolina,2006,6,35.4471667
92,South Dakota,2006,6,58.751240110000005
93,Tennessee,2006,6,42.13794066
95,Utah,2006,6,35.00288105
96,Vermont,2006,6,54.9977313
97,Virginia,2006,6,44.53772541
98,Washington,2006,6,47.3452088
99,West Virginia,2006,6,33.750793800000004
100,Wisconsin,2006,6,53.71365544
101,Wyoming,2006,6,51.75495283
102,Alabama,2010,10,43.28859621
103,Alaska,2010,10,52.88518402
104,Arizona,2010,10,41.592153450000005
105,Arkansas,2010,10,37.94876501
106,California,2010,10,45.88647119
107,Colorado,2010,10,51.749081669999995
108,Connecticut,2010,10,45.91646336
109,Delaware,2010,10,48.9596874
110,District of Columbia,2010,10,29.62066552
111,Florida,2010,10,42.23215256
112,Georgia,2010,10,40.573826600000004
113,Hawaii,2010,10,40.25946009
114,Idaho,2010,10,42.926805089999995
115,Illinois,2010,10,43.10539505
116,Indiana,2010,10,38.14753366
117,Iowa,2010,10,50.723691390000006
118,Kansas,2010,10,42.637796630000004
119,Kentucky,2010,10,44.33876688
120,Louisiana,2010,10,39.964284
121,Maine,2010,10,55.922119130000006
122,Maryland,2010,10,46.69240501
123,Massachusetts,2010,10,49.42748425
124,Michigan,2010,10,45.10821595
125,Minnesota,2010,10,55.83879462
127,Missouri,2010,10,45.74145728
128,Montana,2010,10,48.38786639
129,Nebraska,2010,10,38.6877124
130,Nevada,2010,10,41.40788468
131,New Hampshire,2010,10,46.14608398
132,New Jersey,2010,10,37.72643197
133,New Mexico,2010,10,44.71754709
134,New York,2010,10,36.268607470000006
135,North Carolina,2010,10,39.8013518
136,North Dakota,2010,10,46.62497534
137,Ohio,2010,10,46.15084172
138,Oklahoma,2010,10,39.13004023
139,Oregon,2010,10,53.87257223
140,Pennsylvania,2010,10,42.39401486
141,Rhode Island,2010,10,45.36235453
142,South Carolina,2010,10,40.29846385
143,South Dakota,2010,10,53.94599229
144,Tennessee,2010,10,35.05451858
145,Texas,2010,10,32.66053058
146,Utah,2010,10,36.84705691
147,Vermont,2010,10,49.82533716
148,Virginia,2010,10,39.12145892
149,Washington,2010,10,54.30565051000001
150,West Virginia,2010,10,37.20470762
151,Wisconsin,2010,10,52.37183405
152,Wyoming,2010,10,46.032672670000004
153,Alabama,2014,14,33.19437258
154,Alaska,2014,14,54.83131691999999
155,Arizona,2014,14,34.0932946
156,Arkansas,2014,14,40.25920248
157,California,2014,14,30.744042980000003
158,Colorado,2014,14,54.72914733
159,Connecticut,2014,14,42.54651456
160,Delaware,2014,14,34.937772
161,District of Columbia,2014,14,35.72824305
162,Florida,2014,14,43.31398909
163,Georgia,2014,14,38.616076840000005
164,Hawaii,2014,14,36.51275586
165,Idaho,2014,14,39.763742969999996
166,Illinois,2014,14,40.76329708
167,Indiana,2014,14,28.73214881
168,Iowa,2014,14,50.339087400000004
169,Kansas,2014,14,43.308201880000006
170,Kentucky,2014,14,44.94222893
171,Louisiana,2014,14,44.90237601
172,Maine,2014,14,58.674517879999996
173,Maryland,2014,14,42.004685949999995
174,Massachusetts,2014,14,44.66210785
175,Michigan,2014,14,43.18762376
176,Minnesota,2014,14,50.63663862
178,Missouri,2014,14,33.58073775
179,Montana,2014,14,47.45565841
180,Nebraska,2014,14,41.37388128
181,Nevada,2014,14,29.585188610000003
182,New Hampshire,2014,14,48.30717972
183,New Jersey,2014,14,32.50749444
185,New York,2014,14,28.9986458
