Name,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
The United States,"70,020","68,310","68,250","70,080","68,780","66,730","65,740","67,360","73,520","75,790","79,560","77,540"
Alabama,"59,070","60,570","56,390","55,180","60,810","55,440","56,010","53,070","58,800","59,900","63,980","62,290"
Alaska,"88,130","85,010","84,760","82,020","87,500","78,340","82,020","84,900","94,290","82,450","87,440","93,310"
Arizona,"66,340","64,000","67,500","67,830","64,150","63,510","60,620","61,830","71,100","74,710","78,480","76,370"
Arkansas,"49,520","52,170","53,850","53,880","54,130","52,260","50,280","56,390","57,170","59,720","59,400","56,120"
California,"78,070","76,410","75,770","80,430","77,960","73,520","73,480","75,930","82,980","84,560","90,840","88,690"
Colorado,"80,450","77,790","78,330","80,970","83,330","81,570","73,780","76,500","87,870","87,610","98,010","93,510"
Connecticut,"83,670","86,000","84,820","90,730","88,440","89,380","82,790","88,080","94,540","87,340","92,930","94,340"
Delaware,"83,990","79,980","73,970","76,240","69,330","74,780","63,110","72,210","72,280","77,990","81,920","83,960"
District of Columbia,"68,740","62,930","66,890","70,480","76,010","77,100","84,080","85,710","88,390","102,900","103,200","105,700"
Florida,"64,800","61,250","62,400","66,410","61,340","59,680","59,370","57,920","63,730","65,550","67,570","67,960"
Georgia,"69,880","69,170","63,090","71,740","63,210","59,750","62,010","62,210","66,650","66,960","69,330","70,420"
Hawaii,"85,960","76,200","86,580","87,910","84,120","80,630","72,500","89,410","89,820","96,100","94,560","94,620"
Idaho,"62,720","60,750","68,280","67,190","64,840","63,720","61,750","67,080","70,440","70,450","78,060","75,460"
Illinois,"76,820","68,800","70,930","70,760","72,820","68,700","66,670","68,940","76,440","84,140","86,960","81,120"
Indiana,"68,150","66,120","65,160","66,010","63,610","62,490","59,480","60,330","69,850","71,850","78,150","72,810"
Iowa,"68,360","66,120","66,790","69,970","68,560","66,380","68,870","72,570","73,590","82,430","80,510","79,350"
Kansas,"68,470","68,650","63,220","66,230","65,470","62,370","64,440","67,090","70,740","76,700","85,500","75,950"
Kentucky,"60,480","59,220","54,820","57,410","56,260","55,670","52,940","53,710","56,500","65,440","66,400","58,090"
Louisiana,"51,230","54,780","56,080","53,050","54,100","53,220","50,370","53,230","52,540","59,950","59,880","60,640"
Maine,"62,150","59,360","63,620","66,360","64,580","64,910","63,350","64,910","63,330","70,370","74,510","78,150"
Maryland,"90,950","90,860","87,900","92,560","87,120","86,950","92,570","95,610","91,850","103,400","110,900","112,500"
Massachusetts,"77,970","80,310","80,080","80,440","82,480","82,520","82,030","79,280","89,990","103,600","102,700","97,260"
Michigan,"75,900","68,810","65,050","70,730","68,080","62,670","64,450","65,280","71,090","72,510","75,330","71,730"
Minnesota,"90,470","87,980","86,360","81,720","75,100","70,860","79,630","84,410","87,440","86,150","92,130","93,980"
Mississippi,"57,200","49,740","53,500","50,500","49,830","51,680","47,220","44,590","51,180","51,320","52,800","50,540"
Missouri,"75,210","68,900","64,860","64,810","62,950","62,050","64,130","71,090","68,510","74,050","72,740","74,360"
Montana,"54,660","56,110","52,270","59,760","58,660","55,910","58,100","64,150","71,070","69,190","66,380","75,870"
Nebraska,"69,620","68,940","67,400","70,000","69,360","71,110","67,260","71,390","73,930","81,060","84,520","81,480"
Nevada,"76,310","72,420","72,660","76,010","74,850","69,340","61,000","62,610","69,020","74,210","71,550","75,200"
New Hampshire,"84,930","89,110","87,460","90,090","90,490","90,240","87,390","92,140","94,960","97,580","104,000","88,350"
New Jersey,"84,060","87,900","85,090","98,950","89,300","85,280","85,940","81,900","85,260","88,980","100,100","96,010"
New Mexico,"58,520","57,110","60,900","58,190","57,570","61,120","55,960","58,610","60,330","57,920","59,550","58,660"
New York,"67,950","67,600","68,730","70,110","69,000","67,420","61,440","68,180","76,500","80,700","80,320","78,920"
North Carolina,"63,900","58,820","61,940","57,860","58,700","59,360","53,550","58,730","66,950","64,020","70,700","67,660"
North Dakota,"60,030","58,310","60,370","59,680","67,860","69,080","71,860","76,240","74,940","79,780","75,010","81,840"
Ohio,"71,650","68,760","66,280","66,730","64,180","62,140","57,180","62,320","67,220","73,930","70,640","70,200"
Oklahoma,"54,090","58,730","60,980","56,460","63,050","58,370","62,380","59,250","63,440","65,300","61,380","65,960"
Oregon,"70,870","67,330","63,100","68,460","70,730","68,530","66,720","73,910","73,640","82,970","89,910","90,230"
Pennsylvania,"70,330","68,460","67,900","70,480","70,290","65,430","66,890","69,260","75,930","77,400","82,810","75,070"
Rhode Island,"70,370","68,330","73,790","78,120","72,800","69,910","72,250","73,600","76,620","74,690","93,790","83,860"
South Carolina,"62,650","60,910","59,560","57,600","57,640","56,470","57,220","56,400","67,660","68,910","70,590","64,220"
South Dakota,"60,830","61,010","63,280","66,040","70,560","61,420","63,680","66,600","71,540","71,330","82,110","69,850"
Tennessee,"56,860","59,650","58,610","59,160","54,290","52,260","55,400","54,880","63,940","67,250","64,310","67,980"
Texas,"64,390","64,670","63,730","62,960","63,570","64,010","66,910","67,630","72,410","71,720","80,020","77,600"
Utah,"79,300","77,090","78,310","79,420","85,510","76,790","75,180","79,570","84,030","92,450","98,260","99,610"
Vermont,"66,030","69,260","72,860","75,570","69,330","75,740","71,620","76,210","75,760","84,050","78,680","75,060"
Virginia,"78,650","79,950","78,720","83,040","84,760","81,750","83,290","83,050","82,750","92,550","96,180","88,550"
Washington,"70,920","72,780","76,850","79,560","77,440","76,060","80,140","74,150","87,550","95,640","95,180","92,980"
West Virginia,"49,050","47,290","51,370","55,860","51,950","57,930","56,120","49,650","55,230","60,670","60,800","54,540"
Wisconsin,"75,190","73,940","70,400","75,150","70,010","68,190","68,400","72,910","74,490","75,130","78,860","76,240"
Wyoming,"66,090","64,050","69,880","68,390","72,930","70,700","74,110","69,910","72,010","75,020","76,570","76,000"
